NAME,COUNTY,GNIS_MATCH,GNIS_COUNT,GNIS_LAT,GNIS_LON,GNIS_SIMIL,INCORP_YR,YR_1850,YR_1860,YR_1870,YR_1880,YR_1890,YR_1900,YR_1910,YR_1920,YR_1930,YR_1940,YR_1950,YR_1960,YR_1970,YR_1980,YR_1990,YR_2000
Diamond Springs,El Dorado,Diamond Springs,El Dorado,38.69462590000,-120.81493550000,1.00000000000,0,420,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
Dixon,Solano,Dixon,Solano,38.44546410000,-121.82329580000,1.00000000000,1878,0,0,317,0,1,783,827,926,1,1,2,3,4,8,10,16
Dogtown,Butte,Buttes Canyon,San Diego,33.19143100000,-116.19222940000,0.83304932189,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0
Donahue,Sonoma,Donahue (historical),Sonoma,38.18936200000,-122.54192610000,0.96470588235,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0
Doton's Bar and Long's Bar,Sutter,Long Bridge,Sutter,39.14822510000,-121.83830390000,0.82805652837,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas City,Trinity,Douglas City,Trinity,40.65208970000,-122.94474740000,1.00000000000,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Flat,Calaveras,Douglas Flat,Calaveras,38.11436520000,-120.45492090000,1.00000000000,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0
Downey,Los Angeles,Downey,Los Angeles,33.94001430000,-118.13256880000,1.00000000000,1956,0,0,0,237,0,0,0,0,0,0,0,83,89,83,91,107
Downieville,Sierra,Downieville,Sierra,39.55934050000,-120.82689050000,1.00000000000,0,0,940,704,650,0,500,0,0,0,0,0,0,0,0,0,0
Dry Creek,El Dorado,Dry Creek,El Dorado,38.73601340000,-120.95105190000,1.00000000000,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dutch Creek,El Dorado,Dutch Creek,El Dorado,38.79906820000,-120.88160450000,1.00000000000,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dutch Flat,Placer,Dutch Flat,Placer,39.20600900000,-120.83771690000,1.00000000000,0,0,0,0,939,682,0,0,0,0,0,0,0,0,0,0,0
East Bakersfield,Kern,East Bakersfield,Kern,35.38662500000,-118.97732200000,1.00000000000,0,0,0,0,242,622,0,0,0,38,0,0,0,0,0,0,0
East Canyon,El Dorado,East Big Canyon Creek,El Dorado,38.56157330000,-120.84549220000,0.93913043478,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado,El Dorado,El Dorado,El Dorado,38.68268170000,-120.84771460000,1.00000000000,0,0,558,0,200,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado Hills,El Dorado,El Dorado Hills,El Dorado,38.68573670000,-121.08216700000,1.00000000000,0,0,558,0,0,0,0,0,0,0,0,0,0,0,3,6,18
El Rio,San Diego,Rios Elementary School,San Diego,32.84088390000,-116.87252500000,0.90822541731,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0
El Rio,Ventura,El Rio,Ventura,34.23578300000,-119.16383000000,1.00000000000,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0
Elmira,Solano,Elmira,Solano,38.34824420000,-121.90996380000,1.00000000000,0,0,0,0,240,317,0,0,0,0,0,0,0,0,0,0,205
Emigrant Gap,Placer,Emigrant Gap,Placer,39.30045620000,-120.66826760000,1.00000000000,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0
Empire Canyon,El Dorado,Empire Creek,El Dorado,38.85767860000,-120.85132500000,0.85588235294,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etna,Siskiyou,Etna,Siskiyou,41.45680650000,-122.89475510000,1.00000000000,1878,0,0,0,361,271,500,518,425,0,456,649,596,667,754,835,781
Eureka,Nevada,New Eureka Mine,Nevada,39.22267190000,-121.05606050000,0.90909090909,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0
Eureka,Humboldt,Eureka,Humboldt,40.80207120000,-124.16367290000,1.00000000000,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0
Eureka Mills,Plumas,Plumas Eureka Mill,Plumas,39.75684140000,-120.70049860000,0.94236657394,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0
Fairfield,Solano,Fairfield,Solano,38.24935810000,-122.03996630000,1.00000000000,1903,0,0,329,424,505,0,834,1,1,1,3,15,44,58,77,96
Fairplay,El Dorado,Fair Play,El Dorado,38.59351730000,-120.66048550000,0.95273164983,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
Fall River Mills,Shasta,Fall River Mills,Shasta,41.00460760000,-121.43831390000,1.00000000000,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,648
Felton,Santa Cruz,Felton,Santa Cruz,37.05133740000,-122.07329730000,1.00000000000,0,0,0,0,271,259,0,0,0,0,0,0,1,2,5,5,1
Ferndale,Humboldt,Ferndale,Humboldt,40.57624060000,-124.26394420000,1.00000000000,1893,0,0,0,178,763,846,905,919,889,901,1,1,1,1,1,1
Fiddletown,Amador,Fiddletown,Amador,38.50379660000,-120.75548910000,1.00000000000,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0
Fir Cap,Sierra,Fir Cap,Sierra,39.61989510000,-120.85439220000,1.00000000000,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
Forest City,Sierra,Forest,Sierra,39.49128480000,-120.85300220000,0.94666666667,0,0,0,152,620,238,0,0,0,0,0,0,0,0,0,0,0
Foresthill,Placer,Foresthill,Placer,39.02017680000,-120.81798910000,1.00000000000,0,0,0,0,688,650,0,0,0,0,0,0,0,0,1,1,2
Forestville,Sonoma,Forestville,Sonoma,38.47352370000,-122.89027210000,1.00000000000,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,2,2
Fort Bidwell,Modoc,Fort Bidwell,Modoc,41.86044630000,-120.15133880000,1.00000000000,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0
Fort Bidwell (govt. barracks),Modoc,Fort Bidwell,Modoc,41.86044630000,-120.15133880000,0.90857142857,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0
Fremont,Solano,Tremont School,Solano,38.45240830000,-121.78607240000,0.88160040923,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont,Yolo,Fremont,Yolo,38.67657060000,-121.63495970000,1.00000000000,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont,Alameda,Fremont,Alameda,37.54826970000,-121.98857190000,1.00000000000,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont Station,Shasta,Latour Fire Station,Shasta,40.64210160000,-121.69498790000,0.84882348684,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
French Canyon,El Dorado,Frenchtown,El Dorado,38.64129370000,-120.91132810000,0.91137929060,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Corral,Nevada,French Corral,Nevada,39.30600360000,-121.16134450000,1.00000000000,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0
French Gulch,Shasta,French Gulch,Shasta,40.70070310000,-122.63835120000,1.00000000000,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,254
Fresno,Fresno,Fresno,Fresno,36.74772720000,-119.77236610000,1.00000000000,1885,0,0,0,1,11,12,25,45,53,61,92,134,166,217,354,428
Fulton,Sonoma,Fulton,Sonoma,38.49629970000,-122.76998860000,1.00000000000,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
Furguson's Cove,Mendocino,Cove Creek,Shasta,40.74515040000,-122.26861610000,0.70773757769,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Garberville,Humboldt,Garberville,Humboldt,40.10014490000,-123.79502900000,1.00000000000,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
Georgetown and Vicinity,El Dorado,Georgetown,El Dorado,38.90684450000,-120.83854620000,0.92592592593,0,462,0,0,415,320,0,0,0,0,0,0,0,0,0,0,962
Geyserville,Sonoma,Geyserville,Sonoma,38.70768700000,-122.90249640000,1.00000000000,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilroy,Santa Clara,Gilroy,Santa Clara,37.00578160000,-121.56827510000,1.00000000000,1870,0,0,0,2,2,2,2,3,4,4,5,7,13,26,26,41
Gold Hill,El Dorado,Gold Hill,El Dorado,38.76101320000,-120.88466030000,1.00000000000,0,0,160,0,47,0,0,0,0,0,0,0,0,0,0,0,0
Gold Run,Placer,Gold Run,Placer,39.18073100000,-120.85577260000,1.00000000000,0,0,0,0,377,211,0,0,0,0,0,0,0,0,0,0,0
Golden City,Tuolumne,Gold Spring,Tuolumne,38.04786850000,-120.41093070000,0.67232412265,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
Gonzales,Monterey,Gonzales,Monterey,36.50662960000,-121.44438060000,1.00000000000,1947,0,0,0,233,359,0,0,0,0,0,2,2,3,3,5,8
Granite Creek,El Dorado,Granite Creek,El Dorado,38.80045690000,-120.91327250000,1.00000000000,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grass Valley,Nevada,Grass Valley,Nevada,39.21906080000,-121.06106060000,1.00000000000,1861,454,0,0,0,0,5,5,4,4,6,5,5,5,7,9,11
Grayson,Stanislaus,Grayson,Stanislaus,37.56382040000,-121.17938110000,1.00000000000,0,0,0,0,133,331,0,0,0,0,0,0,0,0,0,0,1
Greenville,Plumas,Greenville,Plumas,40.13961260000,-120.95106750000,1.00000000000,0,0,0,0,403,0,0,0,0,0,0,1,1,1,2,1,1
Greenwood Valley,El Dorado,Greenwood,El Dorado,38.89656640000,-120.91271660000,0.96000000000,0,336,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0
Gridley,Butte,Gridley,Butte,39.36377730000,-121.69358330000,1.00000000000,1905,0,0,0,352,686,0,987,2,2,2,3,3,4,4,5,5
Grizzly Flat,El Dorado,Grizzly Flat,El Dorado,38.63629470000,-120.52742510000,1.00000000000,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
Grizzly Flat,Placer,Grizzly Flat,Placer,39.08795420000,-120.82743570000,1.00000000000,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
Groveland,Tuolumne,Groveland,Tuolumne,37.83826080000,-120.23268940000,1.00000000000,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
Guadalupe,Santa Barbara,Guadalupe,Santa Barbara,34.94914450000,-120.56405820000,1.00000000000,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0
Guadalupe,Santa Clara,Guadalupe Creek,Santa Clara,37.24661040000,-121.87106460000,0.97500000000,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0
Gualala,Mendocino,Gualala,Mendocino,38.76574470000,-123.52806510000,1.00000000000,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerneville,Sonoma,Guerneville,Sonoma,38.50185750000,-122.99611020000,1.00000000000,0,0,0,0,363,0,0,0,0,0,0,0,0,0,2,2,2
Hanford,Kings,Hanford,Kings,36.32745020000,-119.64568440000,1.00000000000,1891,0,0,0,269,942,3,5,6,7,8,10,10,15,21,31,42
Happy Camp,Del Norte,Rocky Camp,Del Norte,41.55123110000,-123.91479320000,0.69716599190,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0
Happy Camp,Siskiyou,Happy Camp,Siskiyou,41.79317970000,-123.37949960000,1.00000000000,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0
Havilah,Kern,Havilah,Kern,35.51773240000,-118.51869720000,1.00000000000,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0
Hawkinsville,Siskiyou,Hawkinsville,Siskiyou,41.76069620000,-122.62197050000,1.00000000000,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0
Hay Fork  Valley,Trinity,Hayfork Valley,Trinity,40.55208890000,-123.13058290000,0.98436595252,0,0,198,172,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Hill,Lassen,Hayden Hill,Lassen,40.99850320000,-120.87024060000,1.00000000000,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0
Hayfork,Trinity,Hayfork,Trinity,40.55431060000,-123.18308390000,1.00000000000,0,0,0,178,0,0,0,0,0,0,0,0,0,0,2,3,2
Hayward,Alameda,Hayward,Alameda,37.66882050000,-122.08079640000,1.00000000000,1876,0,0,504,1,1,2,3,3,6,7,14,73,93,94,111,140
Healdsburg,Sonoma,Healdsburg,Sonoma,38.61046580000,-122.86916090000,1.00000000000,1867,0,334,959,1,1,2,2,2,2,3,3,5,5,7,9,11
Helltown,Butte,Helltown,Butte,39.81155030000,-121.65969720000,1.00000000000,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
Henley,Siskiyou,Henley,Siskiyou,41.90208380000,-122.56335860000,1.00000000000,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
Hill's Ferry,Stanislaus,Hills Ferry,Stanislaus,37.34882620000,-120.97965010000,0.99125364432,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0
Hollister,San Benito,Hollister,San Benito,36.85245450000,-121.40160210000,1.00000000000,1874,0,0,0,1,1,1,2,3,4,4,5,6,8,11,19,34
Homer,Mono,Homer Mountain,San Bernardino,35.03444240000,-114.92052940000,0.90181010657,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
Homestead,San Joaquin,The Homestead,San Joaquin,37.93881320000,-121.28577910000,0.95555555556,0,0,0,0,367,637,0,0,0,0,0,0,0,0,0,0,0
Hoopa Valley Indian Res.,Klamath,Hoopa Valley Reservation,Humboldt,41.09925060000,-123.67255540000,0.72887549435,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Hornitos,Mariposa,Hornitos,Mariposa,37.50215920000,-120.23824100000,1.00000000000,0,0,0,0,350,276,205,160,100,62,159,126,73,0,0,0,0
Horse Shoe Bar,Sutter,Horseshoe Lake,Sutter,38.77046680000,-121.67938270000,0.83050911695,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hot Spring,Placer,Heath Spring,Placer,39.24962660000,-120.40603530000,0.91419306820,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
Hot Spring Valley,Mono,Hot Spring,Mono,38.04813660000,-119.08108520000,0.95789473684,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
Howland Flat,Sierra,Howland Flat,Sierra,39.71489400000,-120.88661650000,1.00000000000,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0
Hueneme,Ventura,Hueneme Canyon,Ventura,34.13167180000,-119.22288600000,0.96250000000,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0
Humbug Canyon,Placer,Humbug Canyon,Placer,39.17934460000,-120.72660020000,1.00000000000,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Humbug Valley,Plumas,Humbug Valley,Plumas,39.80128940000,-120.51271590000,1.00000000000,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
Igo,Shasta,Igo,Shasta,40.50542810000,-122.54167990000,1.00000000000,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0
Illinois Canyon,El Dorado,Illinois Canyon,El Dorado,38.93017740000,-120.85854700000,1.00000000000,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence,Inyo,Independence,Inyo,36.80271020000,-118.20009510000,1.00000000000,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,574
Indian,Lake,Indian Creek,Lake,38.99739580000,-122.55220220000,0.96363636364,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0
Indian Creek,Trinity,Indian Creek,Trinity,40.65820100000,-122.91446900000,1.00000000000,0,0,200,183,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian Diggings,El Dorado,Indian Diggings School,El Dorado,38.58074000000,-120.57687150000,0.98333333333,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
Inskip,Butte,Inskip,Butte,39.98988230000,-121.54108420000,1.00000000000,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Ione,Amador,Ione,Amador,38.35269130000,-120.93271770000,1.00000000000,1953,0,0,0,636,806,0,0,0,0,0,1,1,2,2,7,7
Iowa Hill,Placer,Iowa Hill,Placer,39.10850910000,-120.85938230000,1.00000000000,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0
Irish Creek,El Dorado,Irish Creek,El Dorado,38.82545690000,-120.84688050000,1.00000000000,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,Amador,Jackson,Amador,38.34880240000,-120.77410180000,1.00000000000,1905,0,0,0,1,0,0,2,2,0,2,2,2,2,2,4,4
Jacksonville,Tuolumne,Jacksonville Post Office (historical),Tuolumne,0.00000000000,0.00000000000,0.91851851852,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
Jamestown,Tuolumne,Jamestown,Tuolumne,37.95325840000,-120.42269520000,1.00000000000,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,3
Jamison,Plumas,Jamison Creek,Plumas,39.82184140000,-120.66716560000,0.97333333333,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
Jenny Lind,Calaveras,Jenny Lind,Calaveras,38.09492160000,-120.86993710000,1.00000000000,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
Johnstown,Plumas,Johnson Creek,Plumas,40.32210750000,-121.20718730000,0.91135250042,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Judsonville,Contra Costa,J F Kennedy Park,Contra Costa,37.92686890000,-122.33135930000,0.80933710647,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0
Julian Mine,Placer,Julias Creek,Mendocino,39.83542960000,-123.80724420000,0.75603837348,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
Junction City,Trinity,Junction City,Trinity,40.73319900000,-123.05364020000,1.00000000000,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelsey,El Dorado,Kelsey,El Dorado,38.79879070000,-120.82076850000,1.00000000000,0,714,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Kernville,Kern,Kernville,Kern,35.75467320000,-118.42536270000,1.00000000000,0,0,0,0,490,0,0,0,0,0,0,0,0,0,2,2,2
Kimshew,Butte,Kimshew Point,Butte,39.90321670000,-121.45774760000,0.95000000000,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
Kingsburg,Fresno,Kingsburg,Fresno,36.51383980000,-119.55401750000,1.00000000000,1908,0,0,0,88,291,0,634,1,1,2,2,3,4,5,7,9
Knight's Ferry,Stanislaus,Knights Ferry,Stanislaus,37.81964990000,-120.67214940000,0.98730606488,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0
Knights Landing,Yolo,Knights Landing,Yolo,38.79962380000,-121.71829700000,1.00000000000,0,0,0,0,367,287,0,0,0,0,0,0,0,0,0,0,0
Knoxville Mines,Lake,Lane Lake,Mono,38.29270220000,-119.54159030000,0.66458504708,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0
Korbels,Sonoma,Korbel,Sonoma,38.50769040000,-122.96444200000,0.97676473373,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
La Grange,Stanislaus,La Grange,Stanislaus,37.66354330000,-120.46352890000,1.00000000000,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0
"Lacy's Bar and vicinity, and Manhattan Bar",Sutter,Bardees Bar,Butte,39.76821760000,-121.45913530000,0.66661856232,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake City,Modoc,Lake City,Modoc,41.64267080000,-120.21689260000,1.00000000000,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0
Lake City,Nevada,Lake City,Nevada,39.35850580000,-120.94161430000,1.00000000000,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0
Lake Valley,Placer,Lake Valley,Placer,39.29906860000,-120.58159770000,1.00000000000,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Lakeport,Lake,Lakeport,Lake,39.04295060000,-122.91582930000,1.00000000000,0,0,0,248,562,991,726,870,1,1,1,2,2,3,4,4,5
Lakeville,Sonoma,Lakeville,Sonoma,38.19908400000,-122.54720430000,1.00000000000,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
Lancha Plana,Amador,Lancha Plana (historical),Amador,38.22464000000,-120.90188330000,0.98125000000,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0
Langville,Yolo,Birch Lane Elementary School,Yolo,38.56046190000,-121.72718330000,0.81188761368,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0
Laporte Village,Plumas,La Porte,Plumas,39.68211460000,-120.98412060000,0.74656188605,0,0,0,0,274,214,0,0,0,0,0,0,0,0,0,0,0
Last Chance,Placer,Last Chance,Placer,39.10906870000,-120.62798400000,1.00000000000,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
Latrobe,El Dorado,Latrobe,El Dorado,38.55962900000,-120.98383070000,1.00000000000,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0
Leesville,Colusa,Leesville,Colusa,39.18933420000,-122.42359210000,1.00000000000,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
Lemoore,Kings,Lemoore,Kings,36.30078350000,-119.78291070000,1.00000000000,1900,0,0,0,463,651,0,1,1,1,2,2,3,4,9,14,20
Lewiston,Trinity,Lewiston,Trinity,40.70736810000,-122.80752270000,1.00000000000,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,1,1
Liberty,Fresno,Liberty School (historical),Fresno,36.47494970000,-119.82486100000,0.93333333333,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,Placer,Lincoln,Placer,38.89156500000,-121.29300790000,1.00000000000,1890,0,0,0,275,961,1,1,1,2,2,2,3,3,4,7,11
Little Lake,Mendocino,Little Lake Valley,Mendocino,39.39405260000,-123.32389840000,0.95000000000,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
Little River,Mendocino,Little River,Mendocino,39.27406510000,-123.79140300000,1.00000000000,0,0,0,158,0,243,0,0,0,0,0,0,0,0,0,0,0
