county,year,population
Santa Clara,1940,174949
Santa Clara,1950,290547
Santa Clara,1960,642315
Santa Clara,1970,1064714
Santa Clara,1980,1295071
Santa Clara,1990,1497577
Santa Clara,2000,1682585
Santa Clara,2010,1781642
Alameda,1940,513011
Alameda,1950,740315
Alameda,1960,908209
Alameda,1970,1073184
Alameda,1980,1105379
Alameda,1990,1279182
Alameda,2000,1443741
Alameda,2010,1510271
Contra Costa,1940,298984
Contra Costa,1950,298984
Contra Costa,1960,409030
Contra Costa,1970,558389
Contra Costa,1980,656380
Contra Costa,1990,803732
Contra Costa,2000,948816
Contra Costa,2010,1049025
Marin,1940,52907
Marin,1950,85619
Marin,1960,146820
Marin,1970,206038
Marin,1980,222568
Marin,1990,230096
Marin,2000,247289
Marin,2010,252409
Napa,1940,28503
Napa,1950,46603
Napa,1960,65890
Napa,1970,79140
Napa,1980,99199
Napa,1990,110765
Napa,2000,124279
Napa,2010,136484
San Francisco,1940,634536
San Francisco,1950,775357
San Francisco,1960,740316
San Francisco,1970,715674
San Francisco,1980,678974
San Francisco,1990,723959
San Francisco,2000,776733
San Francisco,2010,805235
San Mateo,1940,111782
San Mateo,1950,235659
San Mateo,1960,444387
San Mateo,1970,556234
San Mateo,1980,587329
San Mateo,1990,649623
San Mateo,2000,707161
San Mateo,2010,718451
Solano,1940,49118
Solano,1950,104833
Solano,1960,134597
Solano,1970,169941
Solano,1980,235203
Solano,1990,340421
Solano,2000,394542
Solano,2010,413344
Sonoma,1940,69052
Sonoma,1950,103405
Sonoma,1960,147375
Sonoma,1970,204885
Sonoma,1980,299681
Sonoma,1990,388222
Sonoma,2000,458614
Sonoma,2010,483878